,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
282,in_permitting,100.0,2029,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1046"", ""tyndp2020_proj_id""=>""1046""",6917,6923,"LINESTRING (25.692902 65.279688, 26.842346 64.556701)"
283,planned_not_yet_permitting,175.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1046"", ""tyndp2020_proj_id""=>""1046""",6782,6551,"LINESTRING (25.180664 62.262171, 24.915619 60.90707)"
284,under_consideration,31.0,2035,True,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1047"", ""tyndp2020_proj_id""=>""1047""",5770,5753,"LINESTRING (7.23587000000001 53.374317, 6.86370800000001 53.418536)"
289,planned_not_yet_permitting,170.0,2030,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1052"", ""tyndp2020_proj_id""=>""1052""",3435,7757,"LINESTRING (12.693329 46.798179, 14.5912685597917 46.536256583087)"
290,planned_not_yet_permitting,105.0,2027,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1054"", ""tyndp2020_proj_id""=>""1054""",3813,3393,"LINESTRING (10.897064 47.236355, 11.964111 47.292271)"
295,under_consideration,90.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056""",2280,2130,"LINESTRING (16.78425 43.503952, 17.436701 43.052743)"
296,under_consideration,105.0,2035,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056""",2130,2135,"LINESTRING (17.436701 43.052743, 18.23576 42.610562)"
299,in_permitting,50.0,2027,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1059"", ""tyndp2020_proj_id""=>""1059""",1325,1327,"LINESTRING (15.996094 39.990799, 16.020813 39.780047)"
300,in_permitting,,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1059"", ""tyndp2020_proj_id""=>""1059""",1321,1318,"LINESTRING (15.03067 40.66814, 15.058136 40.941527)"
301,in_permitting,,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1059"", ""tyndp2020_proj_id""=>""1059""",1318,2289,"LINESTRING (15.058136 40.941527, 14.957886 41.143501)"
302,under_construction,40.0,2022,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1063"", ""tyndp2020_proj_id""=>""1063""",5095,5095,"LINESTRING (4.218787 51.424034, 4.218787 51.424034)"
308,under_consideration,50.6,2036,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1074"", ""tyndp2020_proj_id""=>""1074""",3351,3348,"LINESTRING (19.720459 46.020807, 20.170898 46.29856)"
309,under_consideration,80.0,2036,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1074"", ""tyndp2020_proj_id""=>""1074""",3321,3352,"LINESTRING (19.175262 45.75411, 19.756165 45.527517)"
